AC211 - Air Canada - Edmonton - Toronto - 15:00 - 17:45 - On Time - 2 - YEG
AC212 - Air Canada - Edmonton - Winnipeg - 16:00 - 17:30 - On Time - 3 - YEG
AC410 - Air Canada - Ottawa - Toronto - 11:00 - 12:00 - On Time - 1 - YOW
PD350 - Porter Airlines - Ottawa - Montreal - 12:15 - 13:15 - On Time - 2 - YOW
AC825 - Air Canada - Ottawa - Washington - 13:30 - 15:00 - On Time - 3 - YOW
UA510 - United Airlines - Ottawa - New York - 14:45 - 16:15 - On Time - 1 - YOW
AC411 - Air Canada - Ottawa - Halifax - 15:00 - 17:00 - On Time - 2 - YOW
AC412 - Air Canada - Ottawa - Chicago - 16:00 - 17:30 - On Time - 3 - YOW
AC450 - Air Canada - Halifax - Montreal - 13:00 - 15:30 - On Time - 1 - YHZ
WS380 - WestJet - Halifax - Toronto - 14:15 - 17:15 - On Time - 2 - YHZ
AC830 - Air Canada - Halifax - Boston - 15:30 - 17:00 - On Time - 3 - YHZ
FI602 - Icelandair - Halifax - Reykjavik - 17:00 - 05:00+1 - On Time - 1 - YHZ
AC451 - Air Canada - Halifax - New York - 18:00 - 20:00 - On Time - 2 - YHZ
AC452 - Air Canada - Halifax - St. John's - 19:00 - 20:30 - On Time - 3 - YHZ
AC250 - Air Canada - Winnipeg - Calgary - 14:00 - 15:30 - On Time - 1 - YWG
WS450 - WestJet - Winnipeg - Edmonton - 15:15 - 16:45 - On Time - 2 - YWG
AC835 - Air Canada - Winnipeg - Minneapolis - 16:30 - 18:00 - On Time - 3 - YWG
DL320 - Delta Air Lines - Winnipeg - Detroit - 17:45 - 20:15 - On Time - 1 - YWG
AC251 - Air Canada - Winnipeg - Toronto - 18:00 - 20:30 - On Time - 2 - YWG
AC252 - Air Canada - Winnipeg - Regina - 19:00 - 20:00 - On Time - 3 - YWG
AC280 - Air Canada - Saskatoon - Calgary - 12:00 - 13:30 - On Time - 1 - YXE
WS480 - WestJet - Saskatoon - Edmonton - 13:15 - 14:45 - On Time - 2 - YXE
AC840 - Air Canada - Saskatoon - Denver - 14:30 - 16:30 - On Time - 3 - YXE
UA630 - United Airlines - Saskatoon - Chicago - 15:45 - 18:45 - On Time - 1 - YXE
AC281 - Air Canada - Saskatoon - Winnipeg - 16:00 - 17:00 - On Time - 2 - YXE
AC282 - Air Canada - Saskatoon - Toronto - 17:00 - 19:30 - On Time - 3 - YXE
AC300 - Air Canada - Regina - Calgary - 13:00 - 14:30 - On Time - 1 - YQR
WS510 - WestJet - Regina - Winnipeg - 14:15 - 15:45 - On Time - 2 - YQR
AC845 - Air Canada - Regina - Minneapolis - 15:30 - 17:00 - On Time - 3 - YQR
AC301 - Air Canada - Regina - Toronto - 16:00 - 18:30 - On Time - 1 - YQR
AC302 - Air Canada - Regina - Saskatoon - 17:00 - 18:00 - On Time - 2 - YQR
